Target type,Geography,Target,First announced,Date in effect,Legal authority,Rate,Sources,,,,,,
Economy,Philippines,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,19%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,,
Economy,Russia,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,0%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,,
Economy,Saudi Arabia,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,10%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,,
Economy,Serbia,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,35%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,White House Fact Sheet,
Economy,South Africa,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,30%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,White House Fact Sheet,
Economy,South Korea,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,15%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,White House Fact Sheet,
Economy,Sri Lanka,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,20%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,,
Economy,Switzerland,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,39%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,,
Economy,Syria,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,41%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,,
Economy,Taiwan,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,20%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,,
Economy,Thailand,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,19%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,White House Fact Sheet,
Economy,Trinidad and Tobago,Non-reciprocal trade: Individual rate,8/1/2025,8/7/2025,IEEPA,15%,USTR Press Release,EO 14257,Executive Order,,,,
Economy,Tunisia,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,25%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,White House Fact Sheet,
Economy,Turkey,Non-reciprocal trade: Individual rate,8/1/2025,8/7/2025,IEEPA,15%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,Executive Order,
Economy,Uganda,Non-reciprocal trade: Individual rate,8/1/2025,8/7/2025,IEEPA,15%,USTR Press Release,EO 14257,Executive Order,,,,
Economy,United Kingdom,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,10%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,,
Economy,United Kingdom,Automobiles (within quota),6/16/2025,6/23/2025,"Section 232, 604, 301",10%,EO 14309,White House Fact Sheet,,,,,
Economy,United Kingdom,Automobile parts,6/16/2025,6/23/2025,"Section 232, 604, 301",10%,EO 14309,White House Fact Sheet,,,,,
Economy,Vanuatu,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,15%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,,
Economy,Venezuela,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,15%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,,
Economy,Vietnam,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,20%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,,
Economy,Zambia,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,15%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,,
Economy,Zimbabwe,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,18%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,,
